,AAPL,GOOG,MSFT
2025-09-09 15:35:00+00:00,236.0449981689453,236.19000244140625,
2025-09-09 15:36:00+00:00,236.15989685058594,236.4857940673828,
2025-09-09 15:37:00+00:00,236.07000732421875,236.30999755859375,
2025-09-09 15:38:00+00:00,236.08999633789062,236.32000732421875,
2025-09-09 15:39:00+00:00,236.16000366210938,236.2216033935547,
2025-09-09 15:40:00+00:00,235.96710205078125,236.201904296875,
2025-09-09 15:41:00+00:00,236.0399932861328,236.08120727539062,
2025-09-09 15:42:00+00:00,236.0399932861328,236.1199951171875,
2025-09-09 15:43:00+00:00,235.98989868164062,236.29299926757812,
2025-09-09 15:44:00+00:00,235.94000244140625,236.39999389648438,
2025-09-09 15:45:00+00:00,236.00999450683594,236.44000244140625,
2025-09-09 15:46:00+00:00,236.0749969482422,236.38999938964844,
2025-09-09 15:47:00+00:00,235.97000122070312,236.14010620117188,
2025-09-09 15:48:00+00:00,235.86000061035156,236.10000610351562,
2025-09-09 15:49:00+00:00,235.78500366210938,235.97999572753906,
2025-09-09 15:50:00+00:00,235.89999389648438,236.06199645996094,
2025-09-09 15:51:00+00:00,235.97999572753906,236.1717071533203,
2025-09-09 15:52:00+00:00,236.05999755859375,236.40769958496094,
2025-09-09 15:53:00+00:00,236.11000061035156,236.64999389648438,
2025-09-09 15:54:00+00:00,236.08999633789062,236.7899932861328,
2025-09-09 15:55:00+00:00,236.11000061035156,236.86990356445312,
2025-09-09 15:56:00+00:00,235.85000610351562,236.8000030517578,
2025-09-09 15:57:00+00:00,235.6199951171875,236.69960021972656,
2025-09-09 15:58:00+00:00,235.63999938964844,236.72999572753906,
2025-09-09 15:59:00+00:00,235.67999267578125,236.61000061035156,
2025-09-09 16:00:00+00:00,235.66000366210938,236.69500732421875,
2025-09-09 16:01:00+00:00,235.5850067138672,236.7174072265625,
2025-09-09 16:02:00+00:00,235.67999267578125,236.5800018310547,
2025-09-09 16:03:00+00:00,235.82859802246094,236.72999572753906,
2025-09-09 16:04:00+00:00,235.7899932861328,236.85000610351562,
2025-09-09 16:05:00+00:00,235.7899932861328,236.7050018310547,
2025-09-09 16:06:00+00:00,235.77000427246094,236.9199981689453,
2025-09-09 16:07:00+00:00,235.77499389648438,236.88999938964844,
2025-09-09 16:08:00+00:00,235.83999633789062,236.94000244140625,
2025-09-09 16:09:00+00:00,235.9600067138672,236.90499877929688,
2025-09-09 16:10:00+00:00,235.89010620117188,236.8699951171875,
2025-09-09 16:11:00+00:00,235.94000244140625,236.83999633789062,
2025-09-09 16:12:00+00:00,236.02999877929688,236.99000549316406,
2025-09-09 16:13:00+00:00,236.06939697265625,237.03500366210938,
2025-09-09 16:14:00+00:00,236.0428009033203,236.9600067138672,
2025-09-09 16:15:00+00:00,236.09500122070312,237.11000061035156,
2025-09-09 16:16:00+00:00,236.19000244140625,237.0500030517578,
2025-09-09 16:17:00+00:00,236.16859436035156,237.22999572753906,
2025-09-09 16:18:00+00:00,236.11000061035156,237.27999877929688,
2025-09-09 16:19:00+00:00,235.9600067138672,237.0399932861328,
2025-09-09 16:20:00+00:00,235.77000427246094,237.1300048828125,
2025-09-09 16:21:00+00:00,235.75999450683594,236.96969604492188,
2025-09-09 16:22:00+00:00,235.75540161132812,236.89999389648438,
2025-09-09 16:23:00+00:00,235.82000732421875,236.89999389648438,
2025-09-09 16:24:00+00:00,235.8300018310547,237.0399932861328,
2025-09-09 16:25:00+00:00,236.03500366210938,237.02000427246094,
2025-09-09 16:26:00+00:00,236.0198974609375,237.11300659179688,
2025-09-09 16:27:00+00:00,236.01499938964844,237.0500030517578,
2025-09-09 16:28:00+00:00,236.00169372558594,237.02999877929688,
2025-09-09 16:29:00+00:00,236.0,237.1699981689453,
2025-09-09 16:30:00+00:00,235.9199981689453,237.16000366210938,
2025-09-09 16:31:00+00:00,235.86459350585938,237.26499938964844,
2025-09-09 16:32:00+00:00,235.9600067138672,237.27999877929688,
2025-09-09 16:33:00+00:00,235.90359497070312,237.27999877929688,
2025-09-09 16:34:00+00:00,236.11000061035156,237.30999755859375,
2025-09-09 16:35:00+00:00,236.00999450683594,237.30499267578125,
2025-09-09 16:36:00+00:00,235.92999267578125,237.35000610351562,
2025-09-09 16:37:00+00:00,235.89999389648438,237.29840087890625,
2025-09-09 16:38:00+00:00,235.860107421875,237.25,
2025-09-09 16:39:00+00:00,235.89999389648438,237.27000427246094,
2025-09-09 16:40:00+00:00,235.8800048828125,237.39999389648438,
2025-09-09 16:41:00+00:00,235.94500732421875,237.4550018310547,
